customer_id,customer_name,email,registration_date,customer_type
C0059,Aanya Singh,aanya.singh59@example.com,2025-11-22,REGULAR
C0060,Ishaan Sharma,ishaan.sharma60@example.com,2025-03-26,REGULAR
C0061,Kavya Verma,kavya.verma61@example.com,2026-04-02,REGULAR
C0062,Ira Joshi,ira.joshi62@example.com,2025-02-26,REGULAR
C0063,Arjun Malhotra,arjun.malhotra63@example.com,2024-12-13,REGULAR
C0064,Ira Malhotra,ira.malhotra64@example.com,2026-02-10,VIP
C0065,Rohan Bansal,rohan.bansal65@example.com,2025-09-20,REGULAR
C0066,Aanya Verma,aanya.verma66@example.com,2025-08-10,REGULAR
C0067,Anaya Bansal,anaya.bansal67@example.com,2025-02-11,PREMIUM
C0068,Priya Mehta,priya.mehta68@example.com,2026-05-10,REGULAR
C0069,Meera Gupta,meera.gupta69@example.com,2025-07-05,REGULAR
C0070,Kabir Verma,kabir.verma70@example.com,2025-02-22,REGULAR
C0071,Aditya Joshi,aditya.joshi71@example.com,2025-09-20,REGULAR
C0072,Aditya Bansal,aditya.bansal72@example.com,2025-09-15,REGULAR
C0073,Anaya Joshi,anaya.joshi73@example.com,2026-06-10,VIP
C0074,Aditya Joshi,aditya.joshi74@example.com,2025-02-05,REGULAR
C0075,Aditya Gupta,aditya.gupta75@example.com,2025-07-07,PREMIUM
C0076,Aanya Sharma,aanya.sharma76@example.com,2025-08-21,VIP
C0077,Anaya Gupta,anaya.gupta77@example.com,2025-03-06,PREMIUM
C0078,Diya Joshi,diya.joshi78@example.com,2026-06-18,REGULAR
C0079,Meera Malhotra,meera.malhotra79@example.com,2025-10-18,PREMIUM
C0080,Anaya Malhotra,anaya.malhotra80@example.com,2025-02-06,REGULAR
C0081,Aarav Singh,aarav.singh81@example.com,2025-06-14,REGULAR
C0082,Arjun Joshi,arjun.joshi82@example.com,2025-06-10,REGULAR
C0083,Anaya Bansal,anaya.bansal83@example.com,2026-01-08,REGULAR
C0084,Vihaan Bansal,vihaan.bansal84@example.com,2024-12-13,REGULAR
C0085,Diya Kapoor,diya.kapoor85@example.com,2026-02-25,PREMIUM
C0086,Aarav Malhotra,aarav.malhotra86@,2026-03-01,REGULAR
C0087,Ishaan Verma,ishaan.verma87@example.com,2026-06-19,PREMIUM
C0088,Kabir Sharma,kabir.sharma88@example.com,2025-11-22,REGULAR
C0089,Ira Verma,ira.verma89@example.com,2025-11-11,PREMIUM
C0090,Vihaan Singh,vihaan.singh90@example.com,2025-03-21,PREMIUM
C0091,Aanya Kapoor,aanya.kapoor91@example.com,2026-05-05,REGULAR
C0092,Aditya Bansal,aditya.bansal92@example.com,2025-01-08,PREMIUM
C0093,Ira Singh,ira.singh93@example.com,2024-10-18,REGULAR
C0094,Diya Mehta,diya.mehta94@example.com,2026-04-22,REGULAR
C0095,Rohan Mehta,rohan.mehta95@example.com,2025-06-11,REGULAR
C0096,Ira Joshi,ira.joshi96@example.com,2026-07-15,PREMIUM
C0097,Aditya Tyagi,aditya.tyagi97@example.com,2024-10-18,VIP
C0098,Ira Gupta,ira.gupta98@example.com,2025-01-01,REGULAR
C0099,Priya Kapoor,priya.kapoor99example.com,2025-04-29,PREMIUM
C0100,Meera Tyagi,meera.tyagi100@example.com,2026-01-02,REGULAR
C0101,Meera Mehta,meera.mehta101@example.com,2026-05-23,REGULAR
C0102,Anaya Verma,anaya.verma102@example.com,2026-05-29,PREMIUM
C0103,Kavya Verma,kavya.verma103@example.com,2025-10-05,REGULAR
C0104,Kabir Kapoor,kabir.kapoor104@example.com,2025-11-27,VIP
C0105,Rohan Bansal,rohan.bansal105@example.com,2024-08-21,PREMIUM
C0106,Ira Verma,ira.verma106@example.com,2025-12-01,REGULAR
C0107,Priya Kapoor,priya.kapoor107@example.com,2024-10-22,PREMIUM
C0108,Ishaan Singh,ishaan.singh108@example.com,2025-11-01,PREMIUM
C0109,Anaya Mehta,anaya.mehta109@example.com,2025-07-15,PREMIUM
C0110,Rohan Joshi,rohan.joshi110@example.com,2026-04-02,REGULAR
C0111,Ira Malhotra,ira.malhotra111@example.com,2025-08-05,PREMIUM
C0112,Kavya Sharma,kavya.sharma112@example.com,2024-10-05,REGULAR
C0113,Kavya Malhotra,kavya.malhotra113@example.com,2024-09-04,REGULAR
C0114,Ira Gupta,ira.gupta114@example.com,2025-11-13,REGULAR
C0115,Ishaan Singh,ishaan.singh115@example.com,2025-01-01,PREMIUM
C0116,Kabir Gupta,kabir.gupta116@example.com,2025-05-26,REGULAR
C0117,Rohan Mehta,rohan.mehta117@example.com,2024-11-11,REGULAR
C0118,Sara Gupta,sara.gupta118@example.com,2024-10-11,REGULAR
C0119,Kabir Singh,kabir.singh119@example.com,2025-11-01,PREMIUM
C0120,Priya Verma,priya.verma120@example.com,2024-08-20,REGULAR
C0121,Vihaan Gupta,vihaan.gupta121@example.com,2026-04-18,REGULAR
C0122,Meera Malhotra,meera.malhotra122@example.com,2024-08-28,REGULAR
C0123,Rohan Verma,rohan.verma123@example.com,2025-10-25,PREMIUM
C0124,Anaya Verma,anaya.verma124@example.com,2025-04-10,REGULAR
C0125,Priya Verma,priya.verma125@example.com,2024-12-02,REGULAR
C0126,Sara Mehta,sara.mehta126@example.com,2025-01-06,REGULAR
C0127,Ira Gupta,ira.gupta127@example.com,2026-06-06,VIP
C0128,Aditya Verma,aditya.verma128@example.com,2026-02-13,REGULAR
C0129,Aanya Gupta,aanya.gupta129@example.com,2025-11-12,REGULAR
C0130,Arjun Gupta,arjun.gupta130@example.com,2025-10-14,REGULAR
C0131,Anaya Singh,anaya.singh131@example.com,2024-11-15,PREMIUM
C0132,Aditya Verma,aditya.verma132@example.com,2026-04-14,PREMIUM
C0133,Rohan Tyagi,rohan.tyagi133@example.com,2025-07-07,PREMIUM
C0134,Arjun Mehta,arjun.mehta134@example.com,2026-06-10,REGULAR
C0135,Diya Bansal,diya.bansal135@example.com,2026-04-25,PREMIUM
C0136,Kabir Sharma,kabir.sharma136@example.com,2026-06-24,PREMIUM
C0137,Arjun Joshi,arjun.joshi137@example.com,2026-05-02,REGULAR
C0138,Priya Tyagi,priya.tyagi138@example.com,2025-06-17,REGULAR
C0139,Kavya Singh,kavya.singh139@example.com,2026-01-07,REGULAR
C0140,Arjun Malhotra,arjun.malhotra140@example.com,2026-06-03,REGULAR
C0141,Diya Sharma,diya.sharma141@example.com,2025-08-23,VIP
C0142,Aditya Tyagi,aditya.tyagi142@example.com,2026-03-24,REGULAR
C0143,Diya Gupta,diya.gupta143@example.com,2025-12-14,VIP
C0144,Kavya Verma,kavya.verma144@example.com,2024-09-05,REGULAR
C0145,Aarav Mehta,aarav.mehta145@example.com,2025-03-27,REGULAR
C0146,Aarav Tyagi,aarav.tyagi146@example.com,2026-01-19,REGULAR
C0147,Priya Joshi,priya.joshi147@example.com,2025-10-18,REGULAR
C0148,Ishaan Verma,ishaan.verma148@example.com,2026-06-05,REGULAR
C0149,Aanya Gupta,aanya.gupta149@example.com,2025-05-30,REGULAR
C0150,Vihaan Joshi,vihaan.joshi150@example.com,2025-03-15,VIP
C0151,Aditya Joshi,aditya.joshi151@example.com,2025-07-19,REGULAR
C0152,Meera Verma,meera.verma152@example.com,2025-07-02,PREMIUM
C0153,Priya Singh,priya.singh153@example.com,2024-10-17,REGULAR
C0154,Sara Tyagi,sara.tyagi154@example.com,2024-12-15,REGULAR
C0155,Aanya Sharma,aanya.sharma155@example.com,2025-07-01,PREMIUM
C0156,Meera Gupta,meera.gupta156@example.com,2024-12-19,REGULAR
C0157,Aditya Sharma,aditya.sharma157@example.com,2025-02-02,REGULAR
C0158,Rohan Joshi,rohan.joshi158@example.com,2026-01-30,PREMIUM
C0159,Priya Mehta,priya.mehta159@example.com,2025-02-05,REGULAR
C0160,Priya Mehta,priya.mehta160@example.com,2024-12-17,PREMIUM
C0161,Aarav Kapoor,aarav.kapoor161@example.com,2025-11-01,REGULAR
C0162,Vihaan Mehta,vihaan.mehta162@example.com,2026-04-01,REGULAR
C0163,Anaya Malhotra,anaya.malhotra163@example.com,2026-01-24,REGULAR
C0164,Anaya Bansal,anaya.bansal164@example.com,2025-02-05,REGULAR
C0165,Kabir Verma,kabir.verma165example.com,2026-03-29,PREMIUM
C0166,Vihaan Singh,vihaan.singh166@example.com,2026-01-22,REGULAR
C0167,Ira Sharma,ira.sharma167@example.com,2025-04-26,REGULAR
C0168,Rohan Tyagi,rohan.tyagi168@example.com,2025-01-19,REGULAR
C0169,Ira Sharma,ira.sharma169@example.com,2026-03-08,PREMIUM
C0170,Priya Tyagi,priya.tyagi170@example.com,2025-04-05,REGULAR
C0171,Ishaan Kapoor,ishaan.kapoor171@example.com,2025-05-23,PREMIUM
C0172,Aanya Kapoor,aanya.kapoor172@example.com,2024-12-19,REGULAR
C0173,Sara Sharma,sara.sharma173@example.com,2025-02-18,REGULAR
C0174,Diya Sharma,diya.sharma174@example.com,2025-10-03,REGULAR
C0175,Anaya Mehta,anaya.mehta175@example.com,2025-07-03,REGULAR
C0176,Diya Malhotra,diya.malhotra176@example.com,2024-08-27,REGULAR
C0177,Kabir Bansal,kabir.bansal177@example.com,2025-06-26,PREMIUM
C0178,Arjun Malhotra,arjun.malhotra178@example.com,2025-08-31,REGULAR
C0179,Anaya Singh,anaya.singh179@example.com,2026-03-01,PREMIUM
C0180,Arjun Gupta,arjun.gupta180@example.com,2024-08-25,VIP
C0181,Aarav Singh,aarav.singh181@example.com,2026-02-24,REGULAR
C0182,Ira Sharma,ira.sharma182@example.com,2025-07-28,REGULAR
C0183,Meera Tyagi,meera.tyagi183@example.com,2025-06-29,REGULAR
C0184,Diya Singh,diya.singh184@example.com,2025-10-22,REGULAR
C0185,Aarav Gupta,aarav.gupta185@example.com,2025-06-01,REGULAR
C0186,Sara Singh,sara.singh186@example.com,2026-02-02,REGULAR
C0187,Sara Kapoor,sara.kapoor187@example.com,2025-12-01,VIP
C0188,Vihaan Bansal,vihaan.bansal188@example.com,2024-11-24,REGULAR
C0189,Meera Tyagi,meera.tyagi189@example.com,2024-11-03,REGULAR
C0190,Aarav Tyagi,aarav.tyagi190@example.com,2026-06-28,VIP
C0191,Arjun Mehta,arjun.mehta191@example.com,2025-05-13,PREMIUM
C0192,Sara Tyagi,sara.tyagi192@example.com,2025-07-19,REGULAR
C0193,Kabir Singh,kabir.singh193@example.com,2024-11-03,VIP
C0194,Aditya Bansal,aditya.bansal194@example.com,2024-12-08,REGULAR
C0195,Aditya Malhotra,aditya.malhotra195@example.com,2025-12-09,REGULAR
C0196,Vihaan Joshi,vihaan.joshi196@example.com,2025-08-20,VIP
C0197,Arjun Malhotra,arjun.malhotra197@example.com,2025-06-30,REGULAR
C0198,Ira Verma,ira.verma198@example.com,2024-11-19,REGULAR
C0199,Meera Mehta,meera.mehta199@example.com,2026-04-28,REGULAR
C0200,Ira Kapoor,ira.kapoor200@example.com,2025-01-17,REGULAR
C0201,Arjun Kapoor,arjun.kapoor201@example.com,2025-09-28,REGULAR
C0202,Meera Mehta,meera.mehta202@example.com,2025-05-12,PREMIUM
C0203,Aditya Sharma,aditya.sharma203@example.com,2025-10-07,PREMIUM
C0204,Diya Joshi,diya.joshi204@example.com,2025-05-01,REGULAR
C0205,Vihaan Gupta,vihaan.gupta205@example.com,2024-12-21,REGULAR
C0206,Ira Singh,ira.singh206@example.com,2024-12-30,REGULAR
C0207,Ishaan Kapoor,ishaan.kapoor207@example.com,2026-05-26,VIP
C0208,Vihaan Bansal,vihaan.bansal208@example.com,2026-04-11,REGULAR
C0209,Ira Verma,ira.verma209@example.com,2024-09-10,VIP
C0210,Arjun Malhotra,arjun.malhotra210@example.com,2024-12-28,REGULAR
C0211,Ira Kapoor,ira.kapoor211@example.com,2024-12-22,REGULAR
C0212,Anaya Sharma,anaya.sharma212@example.com,2025-02-07,VIP
C0213,Ishaan Tyagi,ishaan.tyagi213@example.com,2026-01-09,REGULAR
C0214,Meera Tyagi,meera.tyagi214@example.com,2025-02-11,REGULAR
C0215,Sara Gupta,sara.gupta215@example.com,2025-05-27,REGULAR
C0216,Sara Gupta,sara.gupta216@example.com,2024-09-23,REGULAR
C0217,Aanya Singh,aanya.singh217@example.com,2026-06-12,REGULAR
C0218,Ishaan Joshi,ishaan.joshi218@example.com,2025-12-22,REGULAR
C0219,Kabir Tyagi,kabir.tyagi219@example.com,2025-01-06,REGULAR
C0220,Meera Joshi,meera.joshi220@example.com,2025-05-01,REGULAR
C0221,Kavya Joshi,kavya.joshi221@example.com,2024-09-07,VIP
C0222,Kavya Kapoor,kavya.kapoor222@example.com,2025-12-23,REGULAR
C0223,Anaya Kapoor,anaya.kapoor223@example.com,2026-03-21,REGULAR
C0224,Ishaan Mehta,ishaan.mehta224@example.com,2025-02-19,REGULAR
C0225,Aanya Singh,aanya.singh225@example.com,2024-09-18,PREMIUM
C0226,Kavya Mehta,kavya.mehta226@example.com,2024-10-17,PREMIUM
C0227,Anaya Joshi,anaya.joshi227@example.com,2025-08-20,PREMIUM
C0228,Arjun Gupta,arjun.gupta228@example.com,2024-11-29,REGULAR
C0229,Arjun Mehta,arjun.mehta229@example.com,2026-02-16,PREMIUM
C0230,Sara Sharma,sara.sharma230@example.com,2025-03-31,REGULAR
C0231,Kavya Tyagi,kavya.tyagi231@example.com,2025-08-17,VIP
C0232,Ira Gupta,ira.gupta232@example.com,2025-02-15,REGULAR
C0233,Rohan Kapoor,rohan.kapoor233@example.com,2026-04-16,REGULAR
C0234,Priya Kapoor,priya.kapoor234@example.com,2026-03-23,REGULAR
C0235,Aanya Singh,aanya.singh235@example.com,2026-01-05,REGULAR
C0236,Aditya Malhotra,aditya.malhotra236@example.com,2024-09-26,REGULAR
C0237,Arjun Bansal,arjun.bansal237@example.com,2025-03-31,REGULAR
C0238,Anaya Sharma,anaya.sharma238@example.com,2025-07-24,VIP
C0239,Arjun Gupta,arjun.gupta239@example.com,2025-08-02,PREMIUM
C0240,Sara Kapoor,sara.kapoor240@example.com,2024-10-18,REGULAR
C0241,Aanya Gupta,aanya.gupta241@example.com,2024-12-10,PREMIUM
C0242,Ira Kapoor,ira.kapoor242@example.com,2024-11-01,REGULAR
C0243,Meera Tyagi,meera.tyagi243@example.com,2026-04-11,REGULAR
C0244,Kabir Kapoor,kabir.kapoor244@example.com,2025-01-05,VIP
C0245,Priya Tyagi,priya.tyagi245@example.com,2026-06-04,VIP
C0246,Meera Kapoor,meera.kapoor246@example.com,2025-02-13,PREMIUM
C0247,Diya Bansal,diya.bansal247@example.com,2025-08-19,REGULAR
C0248,Aanya Gupta,aanya.gupta248@example.com,2025-09-10,REGULAR
C0249,Priya Mehta,priya.mehta249@example.com,2024-12-27,REGULAR
C0250,Aarav Bansal,aarav.bansal250@example.com,2025-09-23,PREMIUM
C0251,Kavya Bansal,kavya.bansal251@example.com,2024-09-21,REGULAR
C0252,Rohan Bansal,rohan.bansal252@example.com,2025-04-02,REGULAR
C0253,Vihaan Malhotra,vihaan.malhotra253@example.com,2025-01-10,REGULAR
C0254,Vihaan Singh,vihaan.singh254@example.com,2025-08-09,VIP
C0255,Aditya Verma,aditya.verma255@example.com,2026-07-06,REGULAR
C0256,Sara Kapoor,sara.kapoor256@example.com,2025-11-19,REGULAR
C0257,Arjun Singh,arjun.singh257@example.com,2024-10-27,REGULAR
C0258,Kavya Verma,kavya.verma258@example.com,2024-08-20,REGULAR
C0259,Anaya Tyagi,anaya.tyagi259@example.com,2025-02-05,PREMIUM
C0260,Anaya Tyagi,anaya.tyagi260@example.com,2025-08-13,REGULAR
C0261,Vihaan Malhotra,vihaan.malhotra261@example.com,2026-04-02,PREMIUM
C0262,Meera Singh,meera.singh262@example.com,2025-02-01,REGULAR
C0263,Kavya Sharma,kavya.sharma263@example.com,2025-06-16,REGULAR
C0264,Kabir Verma,kabir.verma264@,2024-11-02,REGULAR
C0265,Sara Tyagi,sara.tyagi265@example.com,2025-01-30,PREMIUM
C0266,Diya Verma,diya.verma266@example.com,2025-07-31,REGULAR
C0267,Aanya Malhotra,aanya.malhotra267@example.com,2024-09-19,REGULAR
C0268,Meera Gupta,meera.gupta268@example.com,2026-05-02,PREMIUM
C0269,Aditya Sharma,aditya.sharma269@example.com,2024-11-30,REGULAR
C0270,Arjun Tyagi,arjun.tyagi270@example.com,2026-03-09,PREMIUM
C0271,Priya Joshi,priya.joshi271@example.com,2025-05-17,PREMIUM
C0272,Kabir Singh,kabir.singh272@example.com,2024-11-25,REGULAR
C0273,Aanya Joshi,aanya.joshi273@example.com,2026-01-03,REGULAR
C0274,Rohan Sharma,rohan.sharma274@example.com,2025-10-30,REGULAR
C0275,Ira Bansal,ira.bansal275@example.com,2025-12-23,REGULAR
C0276,Aarav Singh,aarav.singh276@example.com,2025-02-09,REGULAR
C0277,Vihaan Malhotra,vihaan.malhotra277@example.com,2024-12-15,REGULAR
C0278,Ishaan Malhotra,ishaan.malhotra278@example.com,2026-01-01,PREMIUM
C0279,Kabir Verma,kabir.verma279@example.com,2026-06-07,REGULAR
C0280,Aditya Kapoor,aditya.kapoor280@example.com,2025-09-13,REGULAR
C0281,Anaya Sharma,anaya.sharma281@example.com,2025-05-15,REGULAR
C0282,Kabir Singh,kabir.singh282@example.com,2025-05-21,REGULAR
C0283,Aditya Verma,aditya.verma283@example.com,2024-11-14,PREMIUM
C0284,Kavya Joshi,kavya.joshi284@example.com,2025-10-16,VIP
C0285,Aanya Singh,aanya.singh285@example.com,2026-03-08,REGULAR
C0286,Ishaan Joshi,ishaan.joshi286@example.com,2025-10-21,VIP
C0287,Meera Malhotra,meera.malhotra287@example.com,2026-03-28,PREMIUM
C0288,Anaya Mehta,anaya.mehta288@example.com,2024-11-07,REGULAR
C0289,Ira Sharma,ira.sharma289@example.com,2026-01-15,REGULAR
C0290,Diya Bansal,diya.bansal290@example.com,2026-07-13,VIP
C0291,Aditya Verma,aditya.verma291@example.com,2025-11-21,REGULAR
C0292,Aditya Singh,aditya.singh292@example.com,2025-03-04,REGULAR
C0293,Ishaan Verma,ishaan.verma293@example.com,2026-07-19,REGULAR
C0294,Ira Gupta,ira.gupta294@example.com,2026-04-20,REGULAR
C0295,Sara Verma,sara.verma295@example.com,2024-11-16,REGULAR
C0296,Ishaan Joshi,ishaan.joshi296@example.com,2025-07-18,PREMIUM
C0297,Diya Malhotra,diya.malhotra297@example.com,2024-08-31,PREMIUM
C0298,Aanya Bansal,aanya.bansal298@example.com,2026-02-05,PREMIUM
C0299,Vihaan Tyagi,vihaan.tyagi299@example.com,2025-01-19,REGULAR
C0300,Aanya Bansal,aanya.bansal300@example.com,2024-11-29,VIP
C0301,Aanya Verma,aanya.verma301@example.com,2025-06-07,PREMIUM
C0302,Sara Kapoor,sara.kapoor302@example.com,2025-10-13,REGULAR
C0303,Meera Malhotra,meera.malhotra303@example.com,2026-03-27,REGULAR
C0304,Aarav Gupta,aarav.gupta304@example.com,2025-05-28,REGULAR
C0305,Aanya Bansal,aanya.bansal305@example.com,2026-07-17,PREMIUM
C0306,Aarav Tyagi,aarav.tyagi306@example.com,2025-07-24,PREMIUM
C0307,Aarav Malhotra,aarav.malhotra307@example.com,2025-05-21,PREMIUM
C0308,Aarav Kapoor,aarav.kapoor308@example.com,2025-06-25,REGULAR
C0309,Ira Malhotra,ira.malhotra309@example.com,2024-11-27,VIP
C0310,Arjun Gupta,arjun.gupta310@example.com,2025-06-22,VIP
C0311,Anaya Kapoor,anaya.kapoor311@example.com,2025-05-21,PREMIUM
C0312,Aanya Verma,aanya.verma312@example.com,2025-02-27,REGULAR
C0313,Sara Tyagi,sara.tyagi313@example.com,2025-12-28,PREMIUM
C0314,Ira Kapoor,ira.kapoor314@example.com,2024-10-15,REGULAR
C0315,Aditya Verma,aditya.verma315@example.com,2025-07-03,PREMIUM
C0316,Ishaan Gupta,ishaan.gupta316@example.com,2026-02-06,PREMIUM
C0317,Aarav Gupta,aarav.gupta317@example.com,2025-03-04,PREMIUM
C0318,Arjun Sharma,arjun.sharma318@example.com,2025-05-01,REGULAR
C0319,Aarav Kapoor,aarav.kapoor319@example.com,2025-03-10,REGULAR
C0320,Ira Malhotra,ira.malhotra320@example.com,2026-01-18,REGULAR
C0321,Sara Verma,sara.verma321@example.com,2026-07-17,REGULAR
C0322,Rohan Malhotra,rohan.malhotra322@example.com,2026-04-19,REGULAR
C0323,Ira Malhotra,ira.malhotra323@example.com,2026-04-11,REGULAR
C0324,Rohan Gupta,rohan.gupta324@example.com,2025-05-10,PREMIUM
C0325,Priya Verma,priya.verma325@example.com,2025-06-06,REGULAR
C0326,Aarav Gupta,aarav.gupta326@example.com,2026-03-27,PREMIUM
C0327,Arjun Singh,arjun.singh327@example.com,2026-06-12,REGULAR
C0328,Arjun Mehta,arjun.mehta328@example.com,2026-06-17,REGULAR
C0329,Aarav Sharma,aarav.sharma329@example.com,2025-12-17,VIP
C0330,Meera Gupta,meera.gupta330@example.com,2026-04-26,PREMIUM
C0331,Arjun Mehta,arjun.mehta331@example.com,2026-05-03,PREMIUM
C0332,Kabir Mehta,kabir.mehta332@example.com,2025-10-26,PREMIUM
C0333,Ira Kapoor,ira.kapoor333@example.com,2025-12-02,REGULAR
C0334,Anaya Mehta,anaya.mehta334@,2026-07-13,REGULAR
C0335,Aanya Tyagi,aanya.tyagi335@example.com,2026-04-09,REGULAR
C0336,Diya Kapoor,diya.kapoor336@example.com,2026-03-16,REGULAR
C0337,Aanya Mehta,aanya.mehta337@example.com,2025-06-20,PREMIUM
C0338,Anaya Verma,anaya.verma338@example.com,2025-07-29,VIP
C0339,Meera Kapoor,meera.kapoor339@example.com,2025-05-29,REGULAR
C0340,Priya Mehta,priya.mehta340@example.com,2025-02-27,REGULAR
C0341,Kavya Singh,kavya.singh341@example.com,2024-10-16,PREMIUM
C0342,Kavya Bansal,kavya.bansal342@example.com,2025-10-06,PREMIUM
C0343,Meera Gupta,meera.gupta343@example.com,2024-09-14,PREMIUM
C0344,Kabir Mehta,kabir.mehta344@example.com,2025-10-21,REGULAR
C0345,Priya Sharma,priya.sharma345@example.com,2026-04-08,PREMIUM
C0346,Aanya Singh,aanya.singh346@example.com,2025-08-05,PREMIUM
C0347,Arjun Joshi,arjun.joshi347@example.com,2026-06-03,PREMIUM
C0348,Sara Kapoor,sara.kapoor348@example.com,2026-01-20,REGULAR
C0349,Aditya Joshi,aditya.joshi349@example.com,2025-02-20,REGULAR
C0350,Anaya Gupta,anaya.gupta350@example.com,2025-05-10,PREMIUM
C0351,Diya Gupta,diya.gupta351@example.com,2026-07-16,PREMIUM
C0352,Meera Verma,meera.verma352@example.com,2025-04-03,REGULAR
C0353,Priya Mehta,priya.mehta353@example.com,2025-10-23,PREMIUM
C0354,Rohan Kapoor,rohan.kapoor354@example.com,2025-05-12,REGULAR
C0355,Anaya Verma,anaya.verma355@example.com,2025-12-13,REGULAR
C0356,Meera Bansal,meera.bansal356@example.com,2026-04-05,VIP
C0357,Vihaan Malhotra,vihaan.malhotra357@example.com,2025-03-06,REGULAR
C0358,Ira Tyagi,ira.tyagi358@example.com,2026-02-12,REGULAR
C0359,Aarav Gupta,aarav.gupta359@example.com,2025-01-06,VIP
